Instance	size	Type	Crossover	hybridation	Nrun	NGeneration	sizepop	Times	deviation
sources/els19.dat	19	T1	UX	NO	0	100	8	0.000	170.404974
sources/els19.dat	19	T1	UX	NO	1	100	8	0.000	133.717855
sources/els19.dat	19	T1	UX	NO	2	100	8	0.000	87.562318
sources/els19.dat	19	T1	UX	NO	3	100	8	0.000	107.817204
sources/els19.dat	19	T1	UX	NO	4	100	8	0.000	126.479729
sources/els19.dat	19	T1	UX	NO	5	100	8	0.000	141.458929
sources/els19.dat	19	T1	UX	NO	6	100	8	0.000	144.223598
sources/els19.dat	19	T1	UX	NO	7	100	8	0.000	99.469852
sources/els19.dat	19	T1	UX	NO	8	100	8	0.000	113.830852
sources/els19.dat	19	T1	UX	NO	9	100	8	0.000	112.009030
sources/els19.dat	19	T1	UX	YES	0	100	8	0.018	14.632267
sources/els19.dat	19	T1	UX	YES	1	100	8	0.018	0.899228
sources/els19.dat	19	T1	UX	YES	2	100	8	0.015	17.736014
sources/els19.dat	19	T1	UX	YES	3	100	8	0.017	0.899228
sources/els19.dat	19	T1	UX	YES	4	100	8	0.016	4.802694
sources/els19.dat	19	T1	UX	YES	5	100	8	0.017	14.444660
sources/els19.dat	19	T1	UX	YES	6	100	8	0.017	13.944106
sources/els19.dat	19	T1	UX	YES	7	100	8	0.015	14.112507
sources/els19.dat	19	T1	UX	YES	8	100	8	0.016	17.736014
sources/els19.dat	19	T1	UX	YES	9	100	8	0.016	4.208999
sources/els19.dat	19	T1	OPX	NO	0	100	8	0.000	105.055451
sources/els19.dat	19	T1	OPX	NO	1	100	8	0.000	120.251214
sources/els19.dat	19	T1	OPX	NO	2	100	8	0.000	171.435560
sources/els19.dat	19	T1	OPX	NO	3	100	8	0.000	96.371113
sources/els19.dat	19	T1	OPX	NO	4	100	8	0.000	156.989726
sources/els19.dat	19	T1	OPX	NO	5	100	8	0.000	116.198531
sources/els19.dat	19	T1	OPX	NO	6	100	8	0.000	151.445016
sources/els19.dat	19	T1	OPX	NO	7	100	8	0.000	108.899345
sources/els19.dat	19	T1	OPX	NO	8	100	8	0.000	97.294857
