Instance,size,Type,Crossover,hybridation,Nrun,NGeneration,sizepop,Times,deviation
sources/els19.dat,19,T1,CX,NO,0,100,8,0.001,98.508065
sources/els19.dat,19,T1,CX,NO,1,100,8,0.001,138.966224
sources/els19.dat,19,T1,CX,NO,2,100,8,0,116.292475
sources/els19.dat,19,T1,CX,NO,3,100,8,0,126.231189
sources/els19.dat,19,T1,CX,NO,4,100,8,0,164.045358
sources/els19.dat,19,T1,CX,NO,5,100,8,0,115.08388
sources/els19.dat,19,T1,CX,NO,6,100,8,0,121.494331
sources/els19.dat,19,T1,CX,NO,7,100,8,0,102.909064
sources/els19.dat,19,T1,CX,NO,8,100,8,0,165.350313
sources/els19.dat,19,T1,CX,NO,9,100,8,0,134.512508
sources/els19.dat,19,T1,CX,NO,0,100,64,0.001,94.080818
sources/els19.dat,19,T1,CX,NO,1,100,64,0.001,106.392918
sources/els19.dat,19,T1,CX,NO,2,100,64,0.001,59.812109
sources/els19.dat,19,T1,CX,NO,3,100,64,0.001,82.899754
sources/els19.dat,19,T1,CX,NO,4,100,64,0.001,85.876397
sources/els19.dat,19,T1,CX,NO,5,100,64,0.001,115.147008
sources/els19.dat,19,T1,CX,NO,6,100,64,0.001,94.970367
sources/els19.dat,19,T1,CX,NO,7,100,64,0.001,115.500169
sources/els19.dat,19,T1,CX,NO,8,100,64,0.001,96.672137
sources/els19.dat,19,T1,CX,NO,9,100,64,0.001,84.283756
sources/els19.dat,19,T1,CX,NO,0,100,256,0.001,98.896015
sources/els19.dat,19,T1,CX,NO,1,100,256,0.001,98.120906
sources/els19.dat,19,T1,CX,NO,2,100,256,0.001,90.960815
sources/els19.dat,19,T1,CX,NO,3,100,256,0.001,96.847068
sources/els19.dat,19,T1,CX,NO,4,100,256,0.001,65.39291
sources/els19.dat,19,T1,CX,NO,5,100,256,0.001,85.322708
sources/els19.dat,19,T1,CX,NO,6,100,256,0.001,80.133935
sources/els19.dat,19,T1,CX,NO,7,100,256,0.001,107.02168
sources/els19.dat,19,T1,CX,NO,8,100,256,0.001,103.087864
sources/els19.dat,19,T1,CX,NO,9,100,256,0.001,63.930488
sources/els19.dat,19,T1,CX,NO,0,1000,8,0.003,120.985772
sources/els19.dat,19,T1,CX,NO,1,1000,8,0.003,85.38608
sources/els19.dat,19,T1,CX,NO,2,1000,8,0.003,140.345787
sources/els19.dat,19,T1,CX,NO,3,1000,8,0.003,100.729352
sources/els19.dat,19,T1,CX,NO,4,1000,8,0.003,191.066482
sources/els19.dat,19,T1,CX,NO,5,1000,8,0.003,147.796956
sources/els19.dat,19,T1,CX,NO,6,1000,8,0.003,58.50777
sources/els19.dat,19,T1,CX,NO,7,1000,8,0.003,154.054821
sources/els19.dat,19,T1,CX,NO,8,1000,8,0.003,94.898942
sources/els19.dat,19,T1,CX,NO,9,1000,8,0.003,181.675276
sources/els19.dat,19,T1,CX,NO,0,1000,64,0.004,95.483132
sources/els19.dat,19,T1,CX,NO,1,1000,64,0.004,48.471034
sources/els19.dat,19,T1,CX,NO,2,1000,64,0.004,114.542739
sources/els19.dat,19,T1,CX,NO,3,1000,64,0.004,110.998929
sources/els19.dat,19,T1,CX,NO,4,1000,64,0.004,91.001332
sources/els19.dat,19,T1,CX,NO,5,1000,64,0.004,70.61094
sources/els19.dat,19,T1,CX,NO,6,1000,64,0.004,74.190294
sources/els19.dat,19,T1,CX,NO,7,1000,64,0.004,69.628796
sources/els19.dat,19,T1,CX,NO,8,1000,64,0.004,61.984594
sources/els19.dat,19,T1,CX,NO,9,1000,64,0.004,93.172841
sources/els19.dat,19,T1,CX,NO,0,1000,256,0.005,72.700404
sources/els19.dat,19,T1,CX,NO,1,1000,256,0.005,62.61661
sources/els19.dat,19,T1,CX,NO,2,1000,256,0.005,71.136987
sources/els19.dat,19,T1,CX,NO,3,1000,256,0.005,95.056328
sources/els19.dat,19,T1,CX,NO,4,1000,256,0.005,79.661198
sources/els19.dat,19,T1,CX,NO,5,1000,256,0.005,75.349425
sources/els19.dat,19,T1,CX,NO,6,1000,256,0.005,81.457446
sources/els19.dat,19,T1,CX,NO,7,1000,256,0.005,69.77921
sources/els19.dat,19,T1,CX,NO,8,1000,256,0.005,70.544431
sources/els19.dat,19,T1,CX,NO,9,1000,256,0.005,75.824381
sources/els19.dat,19,T1,CX,NO,0,10000,8,0.03,79.308932
sources/els19.dat,19,T1,CX,NO,1,10000,8,0.03,154.011817
sources/els19.dat,19,T1,CX,NO,2,10000,8,0.03,112.559733
sources/els19.dat,19,T1,CX,NO,3,10000,8,0.03,117.824055
sources/els19.dat,19,T1,CX,NO,4,10000,8,0.029,80.160044
sources/els19.dat,19,T1,CX,NO,5,10000,8,0.03,148.921484
sources/els19.dat,19,T1,CX,NO,6,10000,8,0.03,45.412068
sources/els19.dat,19,T1,CX,NO,7,10000,8,0.03,159.47482
sources/els19.dat,19,T1,CX,NO,8,10000,8,0.03,167.412971
sources/els19.dat,19,T1,CX,NO,9,10000,8,0.029,151.79533
sources/els19.dat,19,T1,CX,NO,0,10000,64,0.038,101.783652
sources/els19.dat,19,T1,CX,NO,1,10000,64,0.038,92.152911
sources/els19.dat,19,T1,CX,NO,2,10000,64,0.038,74.132081
sources/els19.dat,19,T1,CX,NO,3,10000,64,0.039,53.261446
